DA Warner,Harmeet Singh,1,0,0,0,0,0
DA Warner,Harmeet Singh,0,1,0,0,0,0
DA Warner,P Kumar,0,0,0,0,1,0
DA Warner,P Kumar,1,0,0,0,0,0
AB Agarkar,P Kumar,1,0,0,0,0,0
AB Agarkar,P Kumar,0,1,0,0,0,0
IK Pathan,P Kumar,0,1,0,0,0,0
AB Agarkar,P Kumar,0,1,0,0,0,0
AB Agarkar,P Awana,0,0,1,0,0,0
AB Agarkar,P Awana,0,1,0,0,0,0
IK Pathan,P Awana,0,1,0,0,0,0
AB Agarkar,P Awana,0,1,0,0,0,0
IK Pathan,P Awana,1,0,0,0,0,0
IK Pathan,P Awana,0,0,0,0,1,0
AB Agarkar,P Kumar,0,1,0,0,0,0
IK Pathan,P Kumar,0,1,0,0,0,0
AB Agarkar,P Kumar,0,1,0,0,0,0
IK Pathan,P Kumar,0,1,0,0,0,0
AB Agarkar,P Kumar,0,1,0,0,0,0
IK Pathan,P Kumar,1,0,0,0,0,0
AC Gilchrist,IK Pathan,0,0,0,0,1,0
AC Gilchrist,IK Pathan,0,0,1,0,0,0
AC Gilchrist,IK Pathan,1,0,0,0,0,0
Mandeep Singh,IK Pathan,1,0,0,0,0,0
Mandeep Singh,IK Pathan,1,0,0,0,0,0
Mandeep Singh,IK Pathan,0,1,0,0,0,0
Mandeep Singh,A Nehra,0,0,0,0,1,0
Mandeep Singh,A Nehra,0,0,0,0,1,0
Mandeep Singh,A Nehra,0,0,0,0,1,0
Mandeep Singh,A Nehra,1,0,0,0,0,0
Mandeep Singh,A Nehra,0,1,0,0,0,0
LA Pomersbach,A Nehra,0,1,0,0,0,0
LA Pomersbach,IK Pathan,0,1,0,0,0,0
Mandeep Singh,IK Pathan,0,0,0,0,1,0
Mandeep Singh,IK Pathan,0,0,0,0,1,0
Mandeep Singh,IK Pathan,0,0,1,0,0,0
LA Pomersbach,IK Pathan,0,0,0,0,1,0
LA Pomersbach,IK Pathan,0,0,0,0,1,0
LA Pomersbach,IK Pathan,1,0,0,0,0,0
Mandeep Singh,J Botha,1,0,0,0,0,0
Mandeep Singh,J Botha,1,0,0,0,0,0
Mandeep Singh,J Botha,0,1,0,0,0,0
LA Pomersbach,J Botha,1,0,0,0,0,0
LA Pomersbach,J Botha,0,0,1,0,0,0
LA Pomersbach,J Botha,0,0,1,0,0,0
Mandeep Singh,RE van der Merwe,1,0,0,0,0,0
Mandeep Singh,RE van der Merwe,0,1,0,0,0,0
LA Pomersbach,RE van der Merwe,0,0,0,0,1,0
LA Pomersbach,RE van der Merwe,1,0,0,0,0,0
DA Miller,RE van der Merwe,1,0,0,0,0,0
DA Miller,RE van der Merwe,0,1,0,0,0,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,0,0,0,0,1,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,0,1,0,0,0,0
DA Miller,RE van der Merwe,1,0,0,0,0,0
DA Miller,RE van der Merwe,0,1,0,0,0,0
M Vohra,RE van der Merwe,1,0,0,0,0,0
M Vohra,RE van der Merwe,1,0,0,0,0,0
M Vohra,RE van der Merwe,0,1,0,0,0,0
DA Miller,RE van der Merwe,0,1,0,0,0,0
DA Miller,J Botha,0,1,0,0,0,0
M Vohra,J Botha,1,0,0,0,0,0
M Vohra,J Botha,1,0,0,0,0,0
M Vohra,J Botha,0,1,0,0,0,0
DA Miller,J Botha,1,0,0,0,0,0
DA Miller,J Botha,0,1,0,0,0,0
DA Miller,AB Agarkar,0,1,0,0,0,0
M Vohra,AB Agarkar,1,0,0,0,0,0
M Vohra,AB Agarkar,0,1,0,0,0,0
DA Miller,AB Agarkar,1,0,0,0,0,0
DA Miller,AB Agarkar,0,1,0,0,0,0
M Vohra,AB Agarkar,0,1,0,0,0,0
M Vohra,J Botha,0,0,0,0,1,0
M Vohra,J Botha,1,0,0,0,0,0
DJ Hussey,J Botha,0,1,0,0,0,0
DA Miller,J Botha,0,1,0,0,0,0
DJ Hussey,J Botha,0,1,0,0,0,0
DA Miller,J Botha,0,0,0,0,1,0
DJ Hussey,RE van der Merwe,0,1,0,0,0,0
DA Miller,RE van der Merwe,0,1,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DJ Hussey,RE van der Merwe,0,0,0,0,1,0
DJ Hussey,RE van der Merwe,0,1,0,0,0,0
DA Miller,RE van der Merwe,0,1,0,0,0,0
DA Miller,J Botha,0,0,1,0,0,0
DA Miller,J Botha,0,0,0,0,1,0
DA Miller,J Botha,0,1,0,0,0,0
DJ Hussey,J Botha,1,0,0,0,0,0
DJ Hussey,J Botha,0,1,0,0,0,0
DA Miller,J Botha,1,0,0,0,0,0
DJ Hussey,UT Yadav,0,1,0,0,0,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,0,1,0,0,0,0
DJ Hussey,UT Yadav,1,0,0,0,0,0
DJ Hussey,UT Yadav,0,0,1,0,0,0
DA Miller,A Nehra,1,0,0,0,0,0
DA Miller,A Nehra,1,0,0,0,0,0
DA Miller,A Nehra,0,1,0,0,0,0
DJ Hussey,A Nehra,0,1,0,0,0,0
DA Miller,A Nehra,0,1,0,0,0,0
DJ Hussey,A Nehra,0,1,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DJ Hussey,RE van der Merwe,1,0,0,0,0,0
DA Miller,A Nehra,1,0,0,0,0,0
DA Miller,A Nehra,0,0,1,0,0,0
DA Miller,A Nehra,0,1,0,0,0,0
DJ Hussey,A Nehra,0,0,0,0,0,1
DJ Hussey,A Nehra,1,0,0,0,0,0
DA Miller,A Nehra,0,1,0,0,0,0
DA Miller,UT Yadav,0,0,0,0,1,0
DA Miller,UT Yadav,1,0,0,0,0,0
DA Miller,UT Yadav,0,1,0,0,0,0
PP Chawla,UT Yadav,1,0,0,0,0,0
PP Chawla,UT Yadav,0,0,0,0,1,0
PP Chawla,UT Yadav,0,1,0,0,0,0
G Gambhir,MS Gony,0,1,0,0,0,0
V Sehwag,MS Gony,0,0,0,0,1,0
