Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundreds,fiftys,fours,sixes,CLUSTER
LA Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0,0
Robin Peterson,5,5,2,32,16,10.66,30,106.66,0,0,3,1,0
Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0,0
GR Napier,1,1,0,15,15,15,16,93.75,0,0,1,0,0
Sreenath Aravind,28,4,4,27,14,0,17,158.82,0,0,5,0,0
Vikramjeet Malik,13,2,1,7,6,7,7,100,0,0,1,0,0
Abhinav Mukund,3,2,0,19,19,9.5,22,86.36,0,0,1,0,0
LPC Silva,3,3,1,40,23,20,26,153.84,0,0,5,1,0
Mohammad Hafeez,8,3,1,20,13,10,22,90.9,0,0,2,1,0
Joginder Sharma,16,6,2,36,16,9,30,120,0,0,1,2,0
Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1,0
RS Sodhi,3,1,1,4,4,0,2,200,0,0,1,0,0
Colin Munro,4,3,0,30,16,10,30,100,0,0,3,0,0
Adrian Barath,3,3,1,42,33,21,42,100,0,0,5,1,0
J Arunkumar,3,3,0,23,22,7.66,23,100,0,0,5,0,0
Brad Haddin,1,1,0,18,18,18,11,163.63,0,0,2,1,0
Asad Pathan,8,7,2,39,14,7.8,23,169.56,0,0,5,2,0
Rahul Shukla,7,4,3,19,14,19,23,82.6,0,0,2,0,0
Darren Lehmann,2,2,0,18,17,9,18,100,0,0,3,0,0
Harshal Patel,35,14,5,47,10,5.22,34,138.23,0,0,2,3,0
Amit Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2,0
Juan Theron,10,4,2,10,7,5,12,83.33,0,0,1,0,0
P Parameswaran,5,1,1,1,1,0,1,100,0,0,0,0,0
Abhimanyu Mithun,16,8,3,34,11,6.8,26,130.76,0,0,4,1,0
Doug Bollinger,27,4,3,21,16,21,23,91.3,0,0,1,1,0
Ishank Jaggi,5,5,1,43,25,10.75,58,74.13,0,0,3,0,0
SS Shaikh,2,1,0,6,6,6,7,85.71,0,0,1,0,0
Sumit Narwal,7,4,1,37,23,12.33,27,137.03,0,0,6,0,0
Doug Bracewell,1,1,1,12,12,0,9,133.33,0,0,1,0,0
VS Yeligati,2,1,0,2,2,2,2,100,0,0,0,0,0
Rahul Tewatia,4,1,0,16,16,16,13,123.07,0,0,0,1,0
Damien Martyn,1,1,0,19,19,19,24,79.16,0,0,1,0,0
Ankeet Chavan,13,3,1,12,7,6,11,109.09,0,0,2,0,0
Siddharth Trivedi,76,15,8,42,9,6,59,71.18,0,0,3,1,0
Mashrafe Mortaza,1,1,1,2,2,0,2,100,0,0,0,0,0
Nic Maddinson,3,3,0,20,12,6.66,21,95.23,0,0,4,0,0
Kevon Cooper,25,14,5,116,32,12.88,68,170.58,0,0,9,8,0
Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2,0
Lakshmipathy Balaji,73,15,7,36,15,4.5,49,73.46,0,0,2,1,0
MA Khote,4,3,1,24,9,12,22,109.09,0,0,2,1,0
